Image,Name,Length µm
IMG_20220811_170126297_HDR.jpg,wes_11aug_pf-61_f,10000
IMG_20220811_170126297_HDR.jpg,standard,33506.7
IMG_20220811_170126297_HDR.jpg,total,38508
IMG_20220811_170305067_HDR.jpg,wes_11aug_pl-55_f,10000
IMG_20220811_170305067_HDR.jpg,standard,39972.2
IMG_20220811_170305067_HDR.jpg,total,49226.6
IMG_20220811_170453869_HDR.jpg,wes_11aug_pl-56_f,10000
IMG_20220811_170453869_HDR.jpg,standard,35988.6
IMG_20220811_170453869_HDR.jpg,total,45680.8
IMG_20220811_171007823.jpg,wes_11aug_pf-62_f,10000
IMG_20220811_171007823.jpg,standard,38955.5
IMG_20220811_171007823.jpg,total,48270.7
IMG_20220811_171358705.jpg,wes_11aug_pf-63_f,10000
IMG_20220811_171358705.jpg,standard,24676.9
IMG_20220811_171358705.jpg,total,30795
IMG_20220811_171904852.jpg,wes_11aug_pl-57_f,10000
IMG_20220811_171904852.jpg,standard,38095.8
IMG_20220811_171904852.jpg,total,47129
IMG_20220811_172100447.jpg,wes_11aug_pf-64,10000
IMG_20220811_172100447.jpg,standard,33132.8
IMG_20220811_172100447.jpg,total,40677.7
IMG_20220811_172400284.jpg,wes_11aug_pl-58_f,10000
IMG_20220811_172400284.jpg,standard,45352.7
IMG_20220811_172400284.jpg,total,55036.6
IMG_20220811_172557708.jpg,wes_11aug_pl-59_m,10000
IMG_20220811_172557708.jpg,standard,47130.8
IMG_20220811_172557708.jpg,total,57798.7
IMG_20220811_172912479.jpg,wes_11aug_pl-60_m,10000
IMG_20220811_172912479.jpg,standard,39631.1
IMG_20220811_172912479.jpg,total,48967.4
IMG_20220811_173035559.jpg,wes_11aug_pl-61_f,10000
IMG_20220811_173035559.jpg,standard,44771.8
IMG_20220811_173035559.jpg,total,55752.4
IMG_20220811_173204568.jpg,wes_11aug_pf-62_f,10000
IMG_20220811_173204568.jpg,standard,44882.2
IMG_20220811_173204568.jpg,total,51792.9
IMG_20220811_173214524.jpg,wes_11aug_pl-62_f,10000
IMG_20220811_173214524.jpg,standard,43981.7
IMG_20220811_173214524.jpg,total,53534
IMG_20220811_173322817.jpg,wes_11aug_pl-63_f,10000
IMG_20220811_173322817.jpg,standard,39010.9
IMG_20220811_173322817.jpg,total,49662.1
IMG_20220811_173530533.jpg,wes_11aug_pl-64_f,10000
IMG_20220811_173530533.jpg,standard,40861.5
IMG_20220811_173530533.jpg,total,49618.9
IMG_20220811_173713182.jpg,wes_11aug_pl-65_f,10000
IMG_20220811_173713182.jpg,standard,39789.5
IMG_20220811_173713182.jpg,total,47236
IMG_20220811_174110131.jpg,wes_11aug_pl-66_m,10000
IMG_20220811_174110131.jpg,standard,27052.7
IMG_20220811_174110131.jpg,total,34095.7
IMG_20220811_174432000.jpg,wes_11aug_pf-65_f,10000
IMG_20220811_174432000.jpg,standard,30328.4
IMG_20220811_174432000.jpg,total,38097.6
IMG_20220807_175218619.jpg,wes_06aug_pl-22_f,10000
IMG_20220807_175218619.jpg,standard,28120
IMG_20220807_175218619.jpg,total,35150
IMG_20220808_103749416.jpg,wes_06aug_pf-25_f,10000
IMG_20220808_103749416.jpg,standard,29458.7
IMG_20220808_103749416.jpg,total,37185.1
